Wpctx,W,Offensive coordinators,First season,L,Wx,Special Teams coordinators,Head coach,Conference,Defensive coordinators,School,Wpct,Lx
–,28,Brian Smith,2020,27,0,Michael Ghobrial,Nick Rolovich,Pac-12,Jake Dickert,Washington State Cougars,0.509,0
.871,246,Steve Sarkisian,2007,65,155,Jeff Banks,Nick Saban,SEC,Pete Golding,Alabama Crimson Tide,0.7909999999999999,23
.333,1,Kendal Briles,2020,2,1,Scott Fountain,Sam Pittman,SEC,Barry Odom,Arkansas Razorbacks,0.33299999999999996,2
.667,73,Chad Morris,2013,35,64,Larry Porter,Gus Malzahn,SEC,Kevin Steele / Travis Williams,Auburn Tigers,0.6759999999999999,32
.793,92,Billy Gonzales / John Hevesy,2018,52,23,Greg Knox,Dan Mullen,SEC,Todd Grantham,Florida Gators,0.639,6
.797,47,Todd Monken,2016,12,47,Scott Cochran,Kirby Smart,SEC,Dan Lanning,Georgia Bulldogs,0.797,12
.495,45,Eddie Gran / Darin Hinshaw,2013,46,45,Vacant,Mark Stoops,SEC,Brad White,Kentucky Wildcats,0.495,46
.788,58,Steve Ensminger,2016,38,41,Greg McMahon,Ed Orgeron,SEC,Bo Pelini,LSU Tigers,0.604,11
.333,62,Jeff Lebby,2020,36,1,Blake Gideon,Lane Kiffin,SEC,D. J. Durkin / Chris Partridge,Ole Miss Rebels,0.633,2
.333,140,Mike Leach,2020,92,1,Matt Brock,Mike Leach,SEC,Zach Arnett,Mississippi State Bulldogs,0.603,2
.333,13,Eliah Drinkwitz / Curtis Luper,2020,3,1,Erik Link,Eliah Drinkwitz,SEC,Ryan Walters,Missouri Tigers,0.813,2
.500,55,Mike Bobo,2016,48,27,Kyle Krantz,Will Muschamp,SEC,Travaris Robinson,South Carolina Gamecocks,0.534,27
.536,15,Jim Chaney,2018,13,15,Vacant,Jeremy Pruitt,SEC,Derrick Ansley / Jimmy Brumbaugh,Tennessee Volunteers,0.536,13
.655,102,Darrell Dickey,2018,33,19,Bradley Dale Peveto,Jimbo Fisher,SEC,Mike Elko,Texas A&M Aggies,0.7559999999999999,10
.351,27,Todd Fitch,2014,50,27,Devin Fitzsimmons,Derek Mason,SEC,Ted Roof,Vanderbilt Commodores,0.35100000000000003,50
.750,3,Tony Petersen,2020,1,3,Brian Haines,Shawn Clark,Sun Belt,Dale Jones,Appalachian State Mountaineers,0.75,1
.605,49,Keith Heckendorf,2014,32,49,Nick Paremski,Blake Anderson,Sun Belt,David Duggan,Arkansas State Red Wolves,0.605,32
.429,12,Newland Isaac / Willy Korn,2019,16,12,Curt Baldus,Jamey Chadwell,Sun Belt,Chad Staggs,Coastal Carolina Chanticleers,0.429,16
.600,21,Bob DeBesse,2018,14,21,Vacant,Chad Lunsford,Sun Belt,Scot Sloan,Georgia Southern Eagles,0.6,14
.436,18,Brad Glenn,2017,27,17,Shiel Wood,Shawn Elliott,Sun Belt,Nick Fuqua,Georgia State Panthers,0.4,22
.656,21,Rob Sale,2018,11,21,Robby Discher,Billy Napier,Sun Belt,Patrick Toney,Louisiana Ragin' Cajuns,0.6559999999999999,11
.358,19,Eman Naghavi,2016,34,19,Tyler Bolfing,Matt Viator,Sun Belt,Mike Collins,Louisiana-Monroe Warhawks,0.358,34
.222,6,Kenny Edenfield,2018,21,6,Matt Kitchens,Steve Campbell,Sun Belt,Greg Stewart,South Alabama Jaguars,0.222,21
.235,4,Jacob Peeler,2019,13,4,Nick Whitworth,Jake Spavital,Sun Belt,Archie McDaniel / Zac Spavital,Texas State Bobcats,0.235,13
.467,7,Ryan Pugh,2019,8,7,Brian Blackmon,Chip Lindsey,Sun Belt,Brandon Hall,Troy Trojans,0.467,8
