sportCode,gsr,orgId,cohortYear,sportDesc,conferenceName,fgrReportLink,gsrReportLink,conferenceId,orgName,state,fgr
MFB,97,509,2006,Football,Big Ten Conference,https://web1.ncaa.org/app_data/inst2013/509.pdf,https://web1.ncaa.org/app_data/gsr2013/509.pdf,827,Northwestern University,IL,92
MFB,93,513,2006,Football,Independent,https://web1.ncaa.org/app_data/inst2013/513.pdf,https://web1.ncaa.org/app_data/gsr2013/513.pdf,0,University of Notre Dame,IN,74
MFB,75,519,2006,Football,Mid-American Conference,https://web1.ncaa.org/app_data/inst2013/519.pdf,https://web1.ncaa.org/app_data/gsr2013/519.pdf,875,Ohio University,OH,65
MFB,75,518,2006,Football,Big Ten Conference,https://web1.ncaa.org/app_data/inst2013/518.pdf,https://web1.ncaa.org/app_data/gsr2013/518.pdf,827,The Ohio State University,OH,58
MFB,51,522,2006,Football,Big 12 Conference,https://web1.ncaa.org/app_data/inst2013/522.pdf,https://web1.ncaa.org/app_data/gsr2013/522.pdf,25354,University of Oklahoma,OK,43
MFB,56,521,2006,Football,Big 12 Conference,https://web1.ncaa.org/app_data/inst2013/521.pdf,https://web1.ncaa.org/app_data/gsr2013/521.pdf,25354,Oklahoma State University,OK,45
MFB,50,523,2006,Football,Colonial Athletic Association,https://web1.ncaa.org/app_data/inst2013/523.pdf,https://web1.ncaa.org/app_data/gsr2013/523.pdf,837,Old Dominion University,VA,
MFB,72,529,2006,Football,Pac-12 Conference,https://web1.ncaa.org/app_data/inst2013/529.pdf,https://web1.ncaa.org/app_data/gsr2013/529.pdf,905,University of Oregon,OR,57
MFB,66,528,2006,Football,Pac-12 Conference,https://web1.ncaa.org/app_data/inst2013/528.pdf,https://web1.ncaa.org/app_data/gsr2013/528.pdf,905,Oregon State University,OR,59
MFB,58,331,2006,Football,Mid-American Conference,https://web1.ncaa.org/app_data/inst2013/331.pdf,https://web1.ncaa.org/app_data/gsr2013/331.pdf,875,Kent State University,OH,52
MFB,68,545,2006,Football,American Athletic Conference,https://web1.ncaa.org/app_data/inst2013/545.pdf,https://web1.ncaa.org/app_data/gsr2013/545.pdf,823,University of Pittsburgh,PA,55
MFB,64,559,2006,Football,Big Ten Conference,https://web1.ncaa.org/app_data/inst2013/559.pdf,https://web1.ncaa.org/app_data/gsr2013/559.pdf,827,Purdue University,IN,57
MFB,96,574,2006,Football,Conference USA,https://web1.ncaa.org/app_data/inst2013/574.pdf,https://web1.ncaa.org/app_data/gsr2013/574.pdf,24312,Rice University,TX,89
MFB,64,670,2006,Football,Western Athletic Conference,https://web1.ncaa.org/app_data/inst2013/670.pdf,https://web1.ncaa.org/app_data/gsr2013/670.pdf,923,Texas State University,TX,45
MFB,68,626,2006,Football,Mountain West Conference,https://web1.ncaa.org/app_data/inst2013/626.pdf,https://web1.ncaa.org/app_data/gsr2013/626.pdf,5486,San Diego State University,CA,66
MFB,51,630,2006,Football,Western Athletic Conference,https://web1.ncaa.org/app_data/inst2013/630.pdf,https://web1.ncaa.org/app_data/gsr2013/630.pdf,923,San Jose State University,CA,53
,,,,,,,,,south alabama,,
MFB,50,647,2006,Football,Mid-Eastern Athletic Conf.,https://web1.ncaa.org/app_data/inst2013/647.pdf,https://web1.ncaa.org/app_data/gsr2013/647.pdf,876,South Carolina State University,SC,41
MFB,57,651,2006,Football,American Athletic Conference,https://web1.ncaa.org/app_data/inst2013/651.pdf,https://web1.ncaa.org/app_data/gsr2013/651.pdf,823,University of South Florida,FL,39
MFB,53,657,2006,Football,Pac-12 Conference,https://web1.ncaa.org/app_data/inst2013/657.pdf,https://web1.ncaa.org/app_data/gsr2013/657.pdf,905,University of Southern California,CA,44
MFB,75,663,2006,Football,Conference USA,https://web1.ncaa.org/app_data/inst2013/663.pdf,https://web1.ncaa.org/app_data/gsr2013/663.pdf,24312,Southern Methodist University,TX,63
MFB,71,664,2006,Football,Conference USA,https://web1.ncaa.org/app_data/inst2013/664.pdf,https://web1.ncaa.org/app_data/gsr2013/664.pdf,24312,The University of Southern Mississippi,MS,59
MFB,93,674,2006,Football,Pac-12 Conference,https://web1.ncaa.org/app_data/inst2013/674.pdf,https://web1.ncaa.org/app_data/gsr2013/674.pdf,905,Stanford University,CA,89
MFB,77,688,2006,Football,American Athletic Conference,https://web1.ncaa.org/app_data/inst2013/688.pdf,https://web1.ncaa.org/app_data/gsr2013/688.pdf,823,Syracuse University,NY,64
MFB,51,691,2006,Football,Ohio Valley Conference,https://web1.ncaa.org/app_data/inst2013/691.pdf,https://web1.ncaa.org/app_data/gsr2013/691.pdf,902,Tennessee State University,TN,45
MFB,64,670,2006,Football,Western Athletic Conference,https://web1.ncaa.org/app_data/inst2013/670.pdf,https://web1.ncaa.org/app_data/gsr2013/670.pdf,923,Texas State University,TX,45
MFB,64,670,2006,Football,Western Athletic Conference,https://web1.ncaa.org/app_data/inst2013/670.pdf,https://web1.ncaa.org/app_data/gsr2013/670.pdf,923,Texas State University,TX,45
MFB,85,698,2006,Football,Big 12 Conference,https://web1.ncaa.org/app_data/inst2013/698.pdf,https://web1.ncaa.org/app_data/gsr2013/698.pdf,25354,Texas Christian University,TX,80
MFB,64,670,2006,Football,Western Athletic Conference,https://web1.ncaa.org/app_data/inst2013/670.pdf,https://web1.ncaa.org/app_data/gsr2013/670.pdf,923,Texas State University,TX,45
MFB,72,700,2006,Football,Big 12 Conference,https://web1.ncaa.org/app_data/inst2013/700.pdf,https://web1.ncaa.org/app_data/gsr2013/700.pdf,25354,Texas Tech University,TX,56
MFB,66,704,2006,Football,Conference USA,https://web1.ncaa.org/app_data/inst2013/704.pdf,https://web1.ncaa.org/app_data/gsr2013/704.pdf,24312,University of Texas at El Paso,TX,59
,,,,,,,,,texas-san antonio,,
MFB,67,709,2006,Football,Mid-American Conference,https://web1.ncaa.org/app_data/inst2013/709.pdf,https://web1.ncaa.org/app_data/gsr2013/709.pdf,875,University of Toledo,OH,60
MFB,48,716,2006,Football,Sun Belt Conference,https://web1.ncaa.org/app_data/inst2013/716.pdf,https://web1.ncaa.org/app_data/gsr2013/716.pdf,818,Troy University,AL,43
MFB,82,718,2006,Football,Conference USA,https://web1.ncaa.org/app_data/inst2013/718.pdf,https://web1.ncaa.org/app_data/gsr2013/718.pdf,24312,Tulane University,LA,63
MFB,75,719,2006,Football,Conference USA,https://web1.ncaa.org/app_data/inst2013/719.pdf,https://web1.ncaa.org/app_data/gsr2013/719.pdf,24312,The University of Tulsa,OK,59
MFB,84,731,2006,Football,Western Athletic Conference,https://web1.ncaa.org/app_data/inst2013/731.pdf,https://web1.ncaa.org/app_data/gsr2013/731.pdf,923,Utah State University,UT,56
MFB,73,732,2006,Football,Pac-12 Conference,https://web1.ncaa.org/app_data/inst2013/732.pdf,https://web1.ncaa.org/app_data/gsr2013/732.pdf,905,University of Utah,UT,57
MFB,84,731,2006,Football,Western Athletic Conference,https://web1.ncaa.org/app_data/inst2013/731.pdf,https://web1.ncaa.org/app_data/gsr2013/731.pdf,923,Utah State University,UT,56
MFB,82,736,2006,Football,Southeastern Conference,https://web1.ncaa.org/app_data/inst2013/736.pdf,https://web1.ncaa.org/app_data/gsr2013/736.pdf,911,Vanderbilt University,TN,68
MFB,74,746,2006,Football,Atlantic Coast Conference,https://web1.ncaa.org/app_data/inst2013/746.pdf,https://web1.ncaa.org/app_data/gsr2013/746.pdf,821,University of Virginia,VA,69
MFB,74,746,2006,Football,Atlantic Coast Conference,https://web1.ncaa.org/app_data/inst2013/746.pdf,https://web1.ncaa.org/app_data/gsr2013/746.pdf,821,University of Virginia,VA,69
MFB,86,749,2006,Football,Atlantic Coast Conference,https://web1.ncaa.org/app_data/inst2013/749.pdf,https://web1.ncaa.org/app_data/gsr2013/749.pdf,821,Wake Forest University,NC,77
MFB,74,756,2006,Football,Pac-12 Conference,https://web1.ncaa.org/app_data/inst2013/756.pdf,https://web1.ncaa.org/app_data/gsr2013/756.pdf,905,University of Washington,WA,66
MFB,57,754,2006,Football,Pac-12 Conference,https://web1.ncaa.org/app_data/inst2013/754.pdf,https://web1.ncaa.org/app_data/gsr2013/754.pdf,905,Washington State University,WA,51
MFB,80,768,2006,Football,Big 12 Conference,https://web1.ncaa.org/app_data/inst2013/768.pdf,https://web1.ncaa.org/app_data/gsr2013/768.pdf,25354,West Virginia University,WV,61
MFB,72,772,2006,Football,Sun Belt Conference,https://web1.ncaa.org/app_data/inst2013/772.pdf,https://web1.ncaa.org/app_data/gsr2013/772.pdf,818,Western Kentucky University,KY,59
MFB,68,774,2006,Football,Mid-American Conference,https://web1.ncaa.org/app_data/inst2013/774.pdf,https://web1.ncaa.org/app_data/gsr2013/774.pdf,875,Western Michigan University,MI,58
,,,,,,,,,wisconsin,,
MFB,65,811,2006,Football,Mountain West Conference,https://web1.ncaa.org/app_data/inst2013/811.pdf,https://web1.ncaa.org/app_data/gsr2013/811.pdf,5486,University of Wyoming,WY,48
